,,,,,,ለ,ሉ,ሊ,ሌ,ሎ,ላ,ሉ፞,ሊ፞,ሌ፞,ሎ፞,ል,,,
,,,,,,ለ፟,ሉ፟,ሊ፟,ሌ፟,ሎ፟,ላ፟,ሉ፝,ሊ፝,ሌ፝,ሎ፝,ል፟,,,
H & H,Qubee,IPA,Latin,Unicode,,a,u,i,e,o,aa,uu,ii,ee,oo,(ɪ),,,
ʔ/∅,<vowel>,ʔ,ʾ,GLOTTAL A,,,,,,,,,,,,,አ,,
ʔ/∅,,ʔ,ʾ,GLOTTAL A,,,,,,,,,,,,,አ፟,,
b,b,b,b,B,,,,,,,,,,,,,በ,,
bb,bb,bb,bb,BB,,,,,,,,,,,,,በ፟,,
ḍ,j,ʤ,ǧ,J,,,,,,,,,,,,,ጀ,,
ḍḍ,jj,ʤʤ,ǧ,JJ,,,,,,,,,,,,,ጀ፟,,
d,d,d,d,D,,,,,,,,,,,,,ደ,,
dd,dd,dd,dd,DD,,,,,,,,,,,,,ደ፟,,
h¹,h,h,h,H,,,,,,,,,,,,,ሀ,,
h¹h¹,hh,hh,hh,HH,,,,,,,,,,,,,ሀ፟,,
w,w,w,w,W,,,,,,,,,,,,,ወ,,
ww,ww,ww,ww,WW,,,,,,,,,,,,,ወ፟,,
z,z,z,z,Z,,,,,,,,,,,,,ዘ,,
zz,zz,zz,zz,ZZ,,,,,,,,,,,,,ዘ፟,,
h²,,ħ,ḥ,HX,,,,,,,,,,,,,ሐ,,For arabic words in ح
h²h²,,ħħ,ḥḥ,HHX,,,,,,,,,,,,,ሐ፟,,
ṭ,x,t’,ṭ,TH,,,,,,,,,,,,,ጠ,,
ṭṭ,xx,t’t’,ṭṭ,TTH,,,,,,,,,,,,,ጠ፟,,
y,y,j,y,Y,,,,,,,,,,,,,የ,,
yy,yy,jj,yy,YY,,,,,,,,,,,,,የ፟,,
k,k,k,k,K,,,,,,,,,,,,,ከ,,
kk,kk,kk,kk,KK,,,,,,,,,,,,,ከ፟,,
l,l,l,l,L,,,,,,,,,,,,,ለ,,
ll,ll,ll,ll,LL,,,,,,,,,,,,,ለ፟,,
m,m,m,m,M,,,,,,,,,,,,,መ,,
mm,mm,mm,mm,MM,,,,,,,,,,,,,መ፟,,
n,n,n,n,N,,,,,,,,,,,,,ነ,,
nn,nn,nn,nn,NN,,,,,,,,,,,,,ነ፟,,
s¹,s,s,s,S,,,,,,,,,,,,,ሰ,,
s¹s¹,ss,ss,ss,SS,,,,,,,,,,,,,ሰ፟,,
f,f,f,f,F,,,,,,,,,,,,,ፈ,,
ff,ff,ff,ff,FF,,,,,,,,,,,,,ፈ፟,,
s²,,t͡s,ts,SX,,,,,,,,,,,,,ሠ,,
s²s²,,t͡st͡s,tsts,SSX,,,,,,,,,,,,,ሠ፟,,
ḳ,q,kʼ,q,Q,,,,,,,,,,,,,ቀ,,
ḳḳ,qq,kkʼ,qq,QQ,,,,,,,,,,,,,ቀ፟,,
r,r,r,r,R,,,,,,,,,,,,,ረ,,
rr,rr,rr,rr,RR,,,,,,,,,,,,,ረ፟,,
š,sh,ʃ,š,SH,,,,,,,,,,,,,ሸ,,
šš,shsh,ʃʃ,šš,SSH,,,,,,,,,,,,,ሸ፟,,
t,t,t,t,T,,,,,,,,,,,,,ተ,,
tt,tt,tt,tt,TT,,,,,,,,,,,,,ተ፟,,
x,,x,k,KX,,,,,,,,,,,,,ኸ,,
xx,,xx,kk,KKX,,,,,,,,,,,,,ኸ፟,,
ṣ,dh,ᶑ,ḍ,DH,,,,,,,,,,,,,ዸ,,
ṣṣ,dhdh,ᶑᶑ,ḍḍ,DDH,,,,,,,,,,,,,ዸ፟,,
g,g,g,g,G,,,,,,,,,,,,,ገ,,
gg,gg,gg,gg,GG,,,,,,,,,,,,,ገ፟,,
č̣,c,tʃʼʼ,č̣,CH,,,,,,,,,,,,,ጨ,,
č̣č̣,cc,tʃʼʼ,č̣č̣,CCH,,,,,,,,,,,,,ጨ፟,,
ň,ny,ɲ,ñ,NY,,,,,,,,,,,,,ኘ,,
ňň,nyny,ɲɲ,ññ,NNY,,,,,,,,,,,,,ኘ፟,,
č,ch,tʃʼ,č,C,,,,,,,,,,,,,ቸ,,
čč,chch,tʃʼ,čč,CC,,,,,,,,,,,,,ቸ፟,,
p̣,ph,pʼ,p̣,PH,,,,,,,,,,,,,ጰ,,
p̣p̣,phph,pʼpʼ,p̣p̣,PPH,,,,,,,,,,,,,ጰ፟,,
ع,,ʕ,ʿ,PHARYNGEAL A,,,,,,,,,,,,,ዐ,,For arabic words in ع
ع ع,,ʕʕ,ʿ,PHARYNGEAL A,,,,,,,,,,,,,ዐ፟,,
p,p,p,p,P,,,,,,,,,,,,,ፐ,,
pp,pp,pp,pp,PP,,,,,,,,,,,,,ፐ፟,,For non-oromo words
v,v,v/β,v,V,,,,,,,,,,,,,ቨ,,
vv,vv,vv/ββ,vv,VV,,,,,,,,,,,,,ቨ፟,,For non-oromo words
,zy,ʒ,ž,ZH,,,,,,,,,,,,,ዠ,,For amharic words
,zyzy,ʒʒ,žž,ZZH,,,,,,,,,,,,,ዠ፟,,
,ts,tsʼ,ṣ,TS,,,,,,,,,,,,,ፀ,ጸ,For amharic words
,tsts,tsʼtsʼ,ṣṣ,TTS,,,,,,,,,,,,,ፀ፟,ጸ፟,